System Info:
Linux kali 6.12.25-amd64 #1 SMP PREEMPT_DYNAMIC Kali 6.12.25-1kali1 (2025-04-30) x86_64 GNU/Linux
User:
luci
Processes:
USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.2  24660 15440 ?        Ss   02:30   0:27 /usr/lib/systemd/systemd --system --deserialize=59 splash
root         101  0.0  0.0      0     0 ?        S    02:30   0:00 [irq/48-pciehp]
root         102  0.0  0.0      0     0 ?        S    02:30   0:00 [irq/49-pciehp]
root         103  0.0  0.0      0     0 ?        S    02:30   0:00 [irq/50-pciehp]
root         104  0.0  0.0      0     0 ?        S    02:30   0:00 [irq/51-pciehp]
root         105  0.0  0.0      0     0 ?        S    02:30   0:00 [irq/52-pciehp]
root         106  0.0  0.0      0     0 ?        S    02:30   0:00 [irq/53-pciehp]
root         107  0.0  0.0      0     0 ?        S    02:30   0:00 [irq/54-pciehp]
root         108  0.0  0.0      0     0 ?        S    02:30   0:00 [irq/55-pciehp]
root         109  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-acpi_thermal_pm]
root         110  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-mld]
root         111  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-ipv6_addrconf]
root         116  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-kstrp]
root         245  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-cryptd]
root         295  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-ata_sff]
root         300  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_0]
root         301  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_0]
root         302  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_1]
root         303  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_1]
root         306  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-mpt_poll_0]
root         309  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-mpt/0]
root         316  0.0  0.0      0     0 ?        S    02:30   0:00 [irq/16-vmwgfx]
root         317  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-ttm]
root         318  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_2]
root         319  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_2]
root         327  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_3]
root         328  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_3]
root         329  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_4]
root         330  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_4]
root         331  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_5]
root         332  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_5]
root         333  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_6]
root         334  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_6]
root         335  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_7]
root         337  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_7]
root         339  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_8]
root         340  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_8]
root         341  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_9]
root         343  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_9]
root         344  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_10]
root         345  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_10]
root         346  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_11]
root         347  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_11]
root         348  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_12]
root         349  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_12]
root         350  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_13]
root         352  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_13]
root         354  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_14]
root         355  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_14]
root         357  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_15]
root         358  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_15]
root         359  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_16]
root         360  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_16]
root         361  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_17]
root         362  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_17]
root         363  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_18]
root         364  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_18]
root         365  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_19]
root         366  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_19]
root         367  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_20]
root         368  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_20]
root         369  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_21]
root         370  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_21]
root         371  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_22]
root         372  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_22]
root         373  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_23]
root         374  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_23]
root         376  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_24]
root         377  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_24]
root         379  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_25]
root         380  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_25]
root         381  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_26]
root         383  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_26]
root         384  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_27]
root         385  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_27]
root         386  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_28]
root         387  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_28]
root         388  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_29]
root         389  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_29]
root         390  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_30]
root         391  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_30]
root         392  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_31]
root         393  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_31]
root         394  0.0  0.0      0     0 ?        S    02:30   0:00 [scsi_eh_32]
root         395  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-scsi_tmf_32]
root         469  0.1  0.0      0     0 ?        S    02:30   0:37 [jbd2/sda1-8]
root         470  0.0  0.0      0     0 ?        I<   02:30   0:00 [kworker/R-ext4-rsv-conversion]
root         517  0.0  0.0      0     0 ?        S    02:30   0:09 [irq/62-vmw_vmci]
root         518  0.0  0.0      0     0 ?        S    02:30   0:00 [irq/63-vmw_vmci]
root         519  0.0  0.0      0     0 ?        S    02:30   0:00 [irq/64-vmw_vmci]
root         558  0.0  0.0 232364  1668 ?        Ssl  02:30   0:00 vmware-vmblock-fuse /run/vmblock-fuse -o rw,subtype=vmware-vmblock,default_permissions,allow_other,dev,suid
systemd+     561  0.0  0.1  92048  8180 ?        Ssl  02:30   0:01 /usr/lib/systemd/systemd-timesyncd
root         566  0.0  0.1  37976 12280 ?        Ss   02:30   0:02 /usr/lib/systemd/systemd-udevd
root         594  0.0  0.0      0     0 ?        S    02:30   0:00 [psimon]
root         708  0.0  0.1   8380  7504 ?        Ss   02:30   0:03 /usr/sbin/haveged --Foreground --verbose=1
root         714  0.4  0.1 253192  9948 ?        Ssl  02:30   2:22 /usr/bin/vmtoolsd
root         818  0.0  0.0  12960  2296 ?        S<sl 02:30   0:00 /usr/sbin/auditd
root         840  0.0  0.1 309016  7188 ?        Ssl  02:30   0:07 /usr/libexec/accounts-daemon
message+     841  0.0  0.1  11692  8060 ?        Ss   02:30   0:15 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
polkitd      844  0.0  0.1 309984 10928 ?        Ssl  02:30   0:09 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
